iter	Passed	Remaining
0	3	5899
1	41	31354
2	73	36783
3	79	29693
4	126	37893
5	180	44840
6	225	48136
7	270	50367
8	312	51778
9	349	52117
10	394	53445
11	434	53873
12	472	54008
13	513	54483
14	556	55071
15	592	54990
16	638	55687
17	674	55573
18	715	55789
19	749	55483
20	783	55192
21	820	55092
22	861	55317
23	903	55569
24	936	55250
25	973	55195
26	1014	55366
27	1055	55504
28	1099	55795
29	1148	56277
30	1183	56081
31	1220	55980
32	1253	55740
33	1297	55926
34	1302	54505
35	1341	54540
36	1380	54566
37	1423	54782
38	1466	54928
39	1506	55001
40	1555	55355
41	1599	55512
42	1634	55389
43	1671	55320
44	1704	55122
45	1739	54989
46	1772	54790
47	1807	54679
48	1846	54683
49	1881	54562
50	1917	54472
51	1955	54442
52	1987	54266
53	2023	54193
54	2058	54082
55	2090	53913
56	2122	53741
57	2158	53664
58	2198	53688
59	2203	52883
60	2246	53003
61	2284	52984
62	2318	52887
63	2351	52768
64	2384	52642
65	2417	52534
66	2450	52416
67	2486	52356
68	2521	52294
69	2561	52330
70	2599	52320
71	2635	52274
72	2667	52137
73	2703	52092
74	2746	52176
75	2777	52050
76	2812	51972
77	2852	52005
78	2904	52240
79	3064	54403
80	3135	54922
81	3186	55100
82	3228	55118
83	3269	55107
84	3313	55158
85	3357	55207
86	3406	55319
87	3448	55329
88	3487	55294
89	3542	55493
90	3597	55695
91	3647	55822
92	3726	56378
93	3771	56406
94	3816	56444
95	3859	56443
96	3898	56390
97	3948	56482
98	3994	56525
99	4041	56575
100	4090	56662
101	4136	56699
102	4189	56817
103	4230	56786
104	4289	56984
105	4338	57049
106	4390	57165
107	4436	57181
108	4617	58922
109	4695	59333
110	4758	59540
111	4813	59657
112	4865	59720
113	4913	59740
114	4966	59818
115	5031	60027
116	5089	60155
117	5139	60191
118	5198	60328
119	5247	60347
120	5309	60515
121	5371	60668
122	5373	60161
123	5418	60125
124	5455	60013
125	5494	59916
126	5534	59837
127	5539	59376
128	5576	59266
129	5624	59278
130	5677	59332
131	5723	59311
132	5761	59222
133	5807	59202
134	5853	59187
135	5898	59157
136	5965	59346
137	6052	59733
138	6121	59935
139	6178	60018
140	6245	60195
141	6302	60272
142	6344	60204
143	6390	60179
144	6443	60211
145	6547	60723
146	6668	61377
147	6708	61285
148	6743	61145
149	6786	61077
150	6836	61071
151	6880	61019
152	6920	60926
153	6959	60830
154	6995	60702
155	7029	60565
156	7066	60446
157	7103	60330
158	7140	60218
159	7178	60117
160	7214	60005
161	7247	59857
162	7287	59778
163	7326	59687
164	7364	59588
165	7403	59495
166	7439	59383
167	7472	59249
168	7507	59125
169	7545	59029
170	7581	58920
171	7622	58851
172	7659	58754
173	7694	58641
174	7730	58532
175	7766	58427
176	7804	58338
177	7849	58298
178	7884	58189
179	7920	58086
180	7954	57970
181	7959	57641
182	7993	57528
183	8027	57412
184	8059	57286
185	8095	57190
186	8129	57080
187	8164	56975
188	8201	56889
189	8238	56802
190	8272	56693
191	8311	56619
192	8345	56518
193	8378	56404
194	8416	56326
195	8448	56210
196	8486	56129
197	8521	56034
198	8558	55952
199	8591	55843
200	8626	55751
201	8665	55680
202	8704	55617
203	8707	55317
204	8752	55288
205	8793	55237
206	8834	55181
207	8870	55102
208	8906	55013
209	8941	54924
210	8986	54898
211	9021	54812
212	9059	54742
213	9094	54652
214	9132	54582
215	9172	54523
216	9211	54465
217	9253	54416
218	9301	54406
219	9304	54137
220	9340	54057
221	9376	53977
222	9409	53885
223	9445	53807
224	9481	53729
225	9516	53648
226	9555	53588
227	9594	53528
228	9628	53440
229	9662	53352
230	9696	53265
231	9731	53189
232	9774	53152
233	9819	53126
234	9861	53081
235	9897	53008
236	9937	52958
237	9970	52868
238	10009	52812
239	10048	52756
240	10085	52685
241	10131	52665
242	10174	52633
243	10218	52600
244	10259	52555
245	10294	52474
246	10330	52406
247	10370	52354
248	10403	52266
249	10439	52196
250	10476	52129
251	10512	52062
252	10554	52022
253	10593	51968
254	10633	51916
255	10671	51858
256	10711	51807
257	10746	51731
258	10784	51674
259	10821	51609
260	10857	51540
